--- 1. Информация о запущенных процессах ---
ID: 0, Имя: Idle - Отказано в доступе.
ID: 4, Имя: System, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 3897,03 сек.
ID: 272, Имя: Registry, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 8,39 сек.
ID: 784, Имя: smss, Приоритет: 11, Время запуска: 11:07, Общее процессорное время: 0,16 сек.
ID: 1312, Имя: csrss, Приоритет: 13, Время запуска: 11:07, Общее процессорное время: 6,88 сек.
ID: 1516, Имя: wininit, Приоритет: 13, Время запуска: 11:07, Общее процессорное время: 0,20 сек.
ID: 1524, Имя: csrss, Приоритет: 13, Время запуска: 11:07, Общее процессорное время: 143,56 сек.
ID: 1612, Имя: winlogon, Приоритет: 13, Время запуска: 11:07, Общее процессорное время: 0,70 сек.
ID: 1632, Имя: services, Приоритет: 9, Время запуска: 11:07, Общее процессорное время: 23815,95 сек.
ID: 1668, Имя: lsass, Приоритет: 9, Время запуска: 11:07, Общее процессорное время: 103,42 сек.
ID: 1820, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 50,05 сек.
ID: 1852, Имя: fontdrvhost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 0,98 сек.
ID: 1856, Имя: fontdrvhost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 0,33 сек.
ID: 1892, Имя: WUDFHost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 0,02 сек.
ID: 1984, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 96,89 сек.
ID: 2044, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 14,42 сек.
ID: 1732, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 8,09 сек.
ID: 1588, Имя: svchost, Приоритет: 10, Время запуска: 11:07, Общее процессорное время: 8,59 сек.
ID: 2116, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 14,17 сек.
ID: 2152, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 6,44 сек.
ID: 2160, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 6,19 сек.
ID: 2168, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 57,38 сек.
ID: 2320, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 22,16 сек.
ID: 2328, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 29,94 сек.
ID: 2440, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 6,92 сек.
ID: 2488, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 8,17 сек.
ID: 2584, Имя: dwm, Приоритет: 13, Время запуска: 11:07, Общее процессорное время: 1315,09 сек.
ID: 2616, Имя: NVDisplay.Container, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 53,36 сек.
ID: 2920, Имя: amdfendrsr, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 5,94 сек.
ID: 2916, Имя: atiesrxx, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 9,52 сек.
ID: 2940, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 13,61 сек.
ID: 2360, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 10,77 сек.
ID: 3192, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 5,89 сек.
ID: 3252, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 31,91 сек.
ID: 3468, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 8470,19 сек.
ID: 3532, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 8,00 сек.
ID: 3708, Имя: WmiPrvSE, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 4,23 сек.
ID: 3768, Имя: WmiPrvSE, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 7742,56 сек.
ID: 3840, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 6,58 сек.
ID: 4020, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 5,73 сек.
ID: 3436, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 7,52 сек.
ID: 3920, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 176,61 сек.
ID: 3152, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 7,78 сек.
ID: 4128, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 5,67 сек.
ID: 4136, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 6,75 сек.
ID: 4164, Имя: Memory Compression, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 87,02 сек.
ID: 4300, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 6,81 сек.
ID: 4332, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 6,95 сек.
ID: 4400, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 6,16 сек.
ID: 4484, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 11,36 сек.
ID: 4528, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 35,50 сек.
ID: 4552, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 8,12 сек.
ID: 4560, Имя: AsusOptimization, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 4,17 сек.
ID: 4676, Имя: spoolsv, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 11,67 сек.
ID: 4752, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 35,91 сек.
ID: 4800, Имя: svchost, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 6,25 сек.
ID: 5040, Имя: ArmouryCrateControlInterface, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 3,50 сек.
ID: 5076, Имя: AsusPTPService, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 5,17 сек.
ID: 5116, Имя: AsusAppService, Приоритет: 8, Время запуска: 11:07, Общее процессорное время: 9,41 сек.
