Время генерации: 15.12.2025 15:36:38

ID: 2920, Имя: amdfendrsr, Приоритет: 8, Запуск: 14.12.2025 11:07:34, ЦПУ (общее): 6,09s, Состояние: Отвечает
ID: 1728, Имя: AppActions, Приоритет: 8, Запуск: 14.12.2025 11:18:31, ЦПУ (общее): 1,81s, Состояние: Отвечает
ID: 13932, Имя: ApplicationFrameHost, Приоритет: 8, Запуск: 14.12.2025 11:15:04, ЦПУ (общее): 0,53s, Состояние: Отвечает
ID: 19820, Имя: AppVShNotify, Приоритет: 8, Запуск: 15.12.2025 11:50:31, ЦПУ (общее): 0,05s, Состояние: Отвечает
ID: 5040, Имя: ArmouryCrateControlInterface, Приоритет: 8, Запуск: 14.12.2025 11:07:35, ЦПУ (общее): 3,64s, Состояние: Отвечает
ID: 26036, Имя: ArmouryCrateKeyControl, Приоритет: 8, Запуск: 15.12.2025 15:12:58, ЦПУ (общее): 0,66s, Состояние: Отвечает
ID: 5116, Имя: AsusAppService, Приоритет: 8, Запуск: 14.12.2025 11:07:35, ЦПУ (общее): 9,48s, Состояние: Отвечает
ID: 4560, Имя: AsusOptimization, Приоритет: 8, Запуск: 14.12.2025 11:07:35, ЦПУ (общее): 4,27s, Состояние: Отвечает
ID: 4636, Имя: AsusOptimizationStartupTask, Приоритет: 8, Запуск: 14.12.2025 11:08:29, ЦПУ (общее): 1,20s, Состояние: Отвечает
ID: 11516, Имя: AsusOSD, Приоритет: 8, Запуск: 14.12.2025 11:09:29, ЦПУ (общее): 0,52s, Состояние: Отвечает
ID: 5076, Имя: AsusPTPService, Приоритет: 8, Запуск: 14.12.2025 11:07:35, ЦПУ (общее): 5,28s, Состояние: Отвечает
ID: 10016, Имя: ASUSSmartDisplayControl, Приоритет: 6, Запуск: 14.12.2025 11:08:30, ЦПУ (общее): 0,53s, Состояние: Отвечает
ID: 4728, Имя: AsusSoftwareManager, Приоритет: 8, Запуск: 14.12.2025 11:07:35, ЦПУ (общее): 6,36s, Состояние: Отвечает
ID: 5712, Имя: AsusSoftwareManagerAgent, Приоритет: 8, Запуск: 14.12.2025 11:12:35, ЦПУ (общее): 4,62s, Состояние: Отвечает
